"REF_DATE","GEO","DGUID","Work activity during the reference year (9)","Age (15A)","Gender (3)","Statistics (3)","Occupation - Minor group - National Occupational Classification (NOC) 2021 (309A)","Employment income statistics (7)","UOM","UOM_ID","SCALAR_FACTOR","SCALAR_ID","VECTOR","COORDINATE","VALUE","STATUS","SYMBOL","TERMINATED","DECIMALS"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","10 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","Median employment income ($)","","0","units","0","","1.1.1.1.1.9.3","86000","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.10.1","453640","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","With employment income","","0","units","0","","1.1.1.1.1.10.2","432605","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","100 Specialized middle management occupations in administrative services, financial and business services and communication (except broadcasting)","Median employment income ($)","","0","units","0","","1.1.1.1.1.10.3","86000","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1001 Administrative services managers","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.11.1","207885","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1001 Administrative services managers","With employment income","","0","units","0","","1.1.1.1.1.11.2","200565","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1001 Administrative services managers","Median employment income ($)","","0","units","0","","1.1.1.1.1.11.3","88000","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1002 Managers in financial and business services","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.12.1","234915","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1002 Managers in financial and business services","With employment income","","0","units","0","","1.1.1.1.1.12.2","221465","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1002 Managers in financial and business services","Median employment income ($)","","0","units","0","","1.1.1.1.1.12.3","83000","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1003 Managers in communication (except broadcasting)","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.13.1","10840","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1003 Managers in communication (except broadcasting)","With employment income","","0","units","0","","1.1.1.1.1.13.2","10570","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","1003 Managers in communication (except broadcasting)","Median employment income ($)","","0","units","0","","1.1.1.1.1.13.3","93000","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","11 Professional occupations in finance and business","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.14.1","794045","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","11 Professional occupations in finance and business","With employment income","","0","units","0","","1.1.1.1.1.14.2","746165","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","11 Professional occupations in finance and business","Median employment income ($)","","0","units","0","","1.1.1.1.1.14.3","65000","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","111 Professional occupations in finance","Total - Employment income statistics","","0","units","0","","1.1.1.1.1.15.1","422595","","","","0"
"2021","Canada","2021A000011124","Total - Work activity during the reference year","Total - Age","Total - Gender","Count","111 Professional occupations in finance","With employment income","","0","units","0","","1.1.1.1.1.15.2","401235","","","","0"
